Year,Rs(24k)
1960,111.87
1961,119.35
1962,119.75
1963,97
1964,63.25
1965,71.75
1966,83.75
1967,102.5
1968,162.0
1969,176.0
1970,184.0
1971,193.0
1972,202.0
1973,278.5
1974,506.0
1975,540.0
1976,432.0
1977,486.0
1978,685.0
1979,937.0
1980,1330.0
1981,1800.0
1982,1645.0
1983,1800.0
1984,1970.0
1985,2130.0
1986,2140.0
1987,2570.0
1988,3130.0
1989,3140.0
1990,3200.0
1991,3466.0
1992,4334.0
1993,4140.0
1994,4598.0
1995,4680.0
1996,5160.0
1997,4725.0
1998,4045.0
1999,4234.0
2000,4400.0
2001,4300.0
2002,4990.0
2003,5600.0
2004,5850.0
2005,7000.0
2006,8400.0
2007,10800.0
2008,12500.0
2009,14500.0
2010,18500.0
2011,26400.0
2012,31050.0
2013,29600.0
2014,28006.5
2015,26343.5
2016,28623.5
2017,29667.5
2018,31438.0
2019,35220.0
2020,48651.0
